Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Sweetness,Mouthfeel,Uniformity,Clean.Cup,Balance,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Robusta,LÊ TẤN ĐẠT,Vietnam,BẾN SẠN TÂY,1,BẾN SẠN TÂY,,BTS COFFEE & FLOWER,500,"xã cư suê, huyện cư m’gar,đắk lắk",BẾN SẠN TÂY,25,40 kg,Coffee Quality Union,2023,"April 8th, 2024",LÊ TẤN ĐẠT,Robusta,Natural / Dry,,8.25,8.08,,,,,10.0,8.0,,84.92,0.117,0 full defects,2,brownish,4 full defects,,,,,,,,
Robusta,Trần Minh Thuận,Vietnam,Thuận Nhiên farm,1,Thuận Nhiên farm,,Thuận Nhiên Farm,900,"Thôn 10, xã Tân Lâm, huyện Di Linh, tỉnh Lâm Đồng",Trần Minh Thuận,22,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Trần Minh Thuận,Mixed,Honey (Ver3),,8.17,8.08,,,,,10.0,8.0,,84.83,0.106,0 full defects,0,Brownish,1 full defects,,,,,,,,
Robusta,Trần Minh Thuận,Vietnam,Thuận Nhiên farm,1,Thuận Nhiên farm,,Thuận Nhiên Farm,900,"Thôn 10, xã Tân Lâm, huyện Di Linh, tỉnh Lâm Đồng",Trần Minh Thuận,22,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Trần Minh Thuận,Mixed,Honey (Ver3),,8.17,8.08,,,,,10.0,8.0,,84.83,0.106,0 full defects,0,Brownish,1 full defects,,,,,,,,
Robusta,Huong Nguyen,Vietnam,48 - Daklao Café,1,48 - Daklao Café,,48 – Café Daklao,750,"Đắk Song, Đắk Nông",Nguyễn Văn Chung,133,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Huong Nguyen,TR4,Natural / Dry,,8.17,7.92,,,,,10.0,8.08,,84.83,0.101,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Huong Nguyen,Vietnam,48 - Daklao Café,1,48 - Daklao Café,,48 – Café Daklao,750,"Đắk Song, Đắk Nông",Nguyễn Văn Chung,133,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Huong Nguyen,TR4,Natural / Dry,,8.17,7.92,,,,,10.0,8.08,,84.83,0.101,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Danh Nguyen,Vietnam,Mộc Chill Coffee,1,Mộc Chill Coffee,,Dancafe,900,"Thôn Liên Kết, xã Đạ Đờn, huyện Lâm Hà, tỉnh Lâm Đồng",Nguyễn Hữu Thanh,33,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Danh Nguyen,Thiện Trường,Honey (Ferment in 48h),,8.17,8.0,,,,,10.0,8.08,,84.75,0.101,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Danh Nguyen,Vietnam,Mộc Chill Coffee,1,Mộc Chill Coffee,,Dancafe,900,"Thôn Liên Kết, xã Đạ Đờn, huyện Lâm Hà, tỉnh Lâm Đồng",Nguyễn Hữu Thanh,33,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Danh Nguyen,Thiện Trường,Honey (Ferment in 48h),,8.17,8.0,,,,,10.0,8.08,,84.75,0.101,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Pawarawit Khamhom,Thailand,Pawonwich Khamhom,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"8, moo.1, Tambon Nam Phang, Amphoe Mae Charim, Nan, 55170",457,"Nam Pang, Mae Charim, Nan",Pawonwich Khamhom,3,25 kg,Coffee Quality Institute,2023,"September 19th, 2024",Pawarawit Khamhom,Mixed: unknown variety,Natural / Dry,,8.08,8.17,,,,,10.0,8.0,,84.67,0.095,4 full defects,0,Brownish,3 full defects,,,,,,,,
Robusta,Pawarawit Khamhom,Thailand,Pawonwich Khamhom,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"8, moo.1, Tambon Nam Phang, Amphoe Mae Charim, Nan, 55170",457,"Nam Pang, Mae Charim, Nan",Pawonwich Khamhom,3,25 kg,Coffee Quality Institute,2024,"September 19th, 2024",Pawarawit Khamhom,Mixed: unknown variety,Natural / Dry,,8.08,8.17,,,,,10.0,8.0,,84.67,0.095,4 full defects,0,Brownish,3 full defects,,,,,,,,
Robusta,Trương Công Thịnh,Vietnam,CTY TNHH MTV THƯƠNG MẠI XNK TOÀN THỊNH,1,CTY TNHH MTV THƯƠNG MẠI XNK TOÀN THỊNH,,TNHH MTV TM XNK TOÀN THỊNH,690,"Nhân Cơ, Đăk R'lấp, Đắk Nông",Trương Công Thịnh,1,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Trương Công Thịnh,Cũ,Natural (nền xi măng),,8.08,8.0,,,,,10.0,8.0,,84.5,0.116,0 full defects,0,Brownish,1 full defects,,,,,,,,
